GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0016024,CDP-diacylglycerol biosynthetic process,4,1,0,0.00099,0.0094
GO:0046341,CDP-diacylglycerol metabolic process,4,1,0,0.00099,0.0094
GO:0006220,pyrimidine nucleotide metabolic process,19,1,0,0.00472,0.0224
GO:0006221,pyrimidine nucleotide biosynthetic proce...,19,1,0,0.00472,0.0224
GO:0072528,pyrimidine-containing compound biosynthe...,38,1,0.01,0.00945,0.029
GO:0072527,pyrimidine-containing compound metabolic...,40,1,0.01,0.00994,0.029
GO:0006661,phosphatidylinositol biosynthetic proces...,43,1,0.01,0.01069,0.029
GO:0046488,phosphatidylinositol metabolic process,60,1,0.01,0.01491,0.0337
GO:0046474,glycerophospholipid biosynthetic process,70,1,0.02,0.0174,0.0337
GO:0045017,glycerolipid biosynthetic process,75,1,0.02,0.01864,0.0337
GO:0006650,glycerophospholipid metabolic process,95,1,0.02,0.02361,0.0337
GO:0008654,phospholipid biosynthetic process,95,1,0.02,0.02361,0.0337
GO:0009165,nucleotide biosynthetic process,100,1,0.02,0.02486,0.0337
GO:1901293,nucleoside phosphate biosynthetic proces...,100,1,0.02,0.02486,0.0337
GO:0046486,glycerolipid metabolic process,108,1,0.03,0.02685,0.034
GO:0006644,phospholipid metabolic process,127,1,0.03,0.03157,0.0375
GO:0009117,nucleotide metabolic process,170,1,0.04,0.04226,0.0451
GO:0006753,nucleoside phosphate metabolic process,172,1,0.04,0.04275,0.0451
GO:0008610,lipid biosynthetic process,183,1,0.05,0.04549,0.0455
