GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0007039,protein catabolic process in the vacuole,4,1,0,0.00099,0.0158
GO:0043936,asexual sporulation resulting in formati...,14,1,0,0.00348,0.0278
GO:0030436,asexual sporulation,27,1,0.01,0.00671,0.0358
GO:0019954,asexual reproduction,64,1,0.02,0.01591,0.0447
GO:0007033,vacuole organization,90,1,0.02,0.02237,0.0447
GO:0030435,sporulation resulting in formation of a ...,124,1,0.03,0.03082,0.0447
GO:0006914,autophagy,128,1,0.03,0.03182,0.0447
GO:0009267,cellular response to starvation,128,1,0.03,0.03182,0.0447
GO:0043934,sporulation,132,1,0.03,0.03281,0.0447
GO:0048646,anatomical structure formation involved ...,132,1,0.03,0.03281,0.0447
GO:0061919,process utilizing autophagic mechanism,133,1,0.03,0.03306,0.0447
GO:0042594,response to starvation,135,1,0.03,0.03356,0.0447
GO:0000747,conjugation with cellular fusion,160,1,0.04,0.03977,0.047
GO:0031669,cellular response to nutrient levels,185,1,0.05,0.04599,0.047
GO:0031668,cellular response to extracellular stimu...,189,1,0.05,0.04698,0.047
GO:0071496,cellular response to external stimulus,189,1,0.05,0.04698,0.047
