sample,fastq_1,fastq_2,strandedness,sample_description,fastq_md5,type,status,time,rep
wild-type_infected_T12h_rep1,raw/fastq/SRX8622470_SRR12097030.fastq.gz,,auto,wild-type_infected_T12h_rep1,6e22af832eec46eaaf8a875ef9c2fe9d,wild,infected,T12h,rep1
wild-type_infected_T12h_rep2,raw/fastq/SRX8622471_SRR12097031.fastq.gz,,auto,wild-type_infected_T12h_rep2,786da5dbd89aa11dd2d717aebdfd547f,wild,infected,T12h,rep2
wild-type_infected_T12h_rep3,raw/fastq/SRX8622472_SRR12097032.fastq.gz,,auto,wild-type_infected_T12h_rep3,32744472ebbbb663647760f1679cf390,wild,infected,T12h,rep3
wild-type_infected_T12h_rep4,raw/fastq/SRX8622473_SRR12097033.fastq.gz,,auto,wild-type_infected_T12h_rep4,5a8e9d2521f337361c236d02ead3283c,wild,infected,T12h,rep4
wild-type_infected_T12h_rep5,raw/fastq/SRX8622474_SRR12097034.fastq.gz,,auto,wild-type_infected_T12h_rep5,137b9353a4141ec3a095c28bb26ded46,wild,infected,T12h,rep5
wild-type_infected_T24h_rep1,raw/fastq/SRX8622480_SRR12097040.fastq.gz,,auto,wild-type_infected_T24h_rep1,191b641e0e2dbeac8d972bff90dfb70d,wild,infected,T24h,rep1
wild-type_infected_T24h_rep2,raw/fastq/SRX8622481_SRR12097041.fastq.gz,,auto,wild-type_infected_T24h_rep2,76656a291fafdebe97a8208f674763d4,wild,infected,T24h,rep2
wild-type_infected_T24h_rep3,raw/fastq/SRX8622482_SRR12097042.fastq.gz,,auto,wild-type_infected_T24h_rep3,a4b89668edc2d8db002ea9916bc1e89c,wild,infected,T24h,rep3
wild-type_infected_T24h_rep4,raw/fastq/SRX8622483_SRR12097043.fastq.gz,,auto,wild-type_infected_T24h_rep4,620d1bf8c7cc379db210f677e84ff83d,wild,infected,T24h,rep4
wild-type_infected_T24h_rep5,raw/fastq/SRX8622484_SRR12097044.fastq.gz,,auto,wild-type_infected_T24h_rep5,b9c15d2ecafb029837d2218cb96cd1ad,wild,infected,T24h,rep5
wild-type_infected_T48h_rep1,raw/fastq/SRX8622490_SRR12097050.fastq.gz,,auto,wild-type_infected_T48h_rep1,35623892060f3ff6f2a0614fcfc91e35,wild,infected,T48h,rep1
wild-type_infected_T48h_rep2,raw/fastq/SRX8622491_SRR12097051.fastq.gz,,auto,wild-type_infected_T48h_rep2,38f7b52c0e8ae5fd9cfd76297cc0138e,wild,infected,T48h,rep2
wild-type_infected_T48h_rep3,raw/fastq/SRX8622492_SRR12097052.fastq.gz,,auto,wild-type_infected_T48h_rep3,003faa477884c5cd0b2ff7d5bed433c4,wild,infected,T48h,rep3
wild-type_infected_T48h_rep4,raw/fastq/SRX8622493_SRR12097053.fastq.gz,,auto,wild-type_infected_T48h_rep4,1a360437eb06852cfcbe2e8ffdb93bce,wild,infected,T48h,rep4
wild-type_infected_T48h_rep5,raw/fastq/SRX8622494_SRR12097054.fastq.gz,,auto,wild-type_infected_T48h_rep5,45ff3afe1190be3c3a478f15b73c166f,wild,infected,T48h,rep5
wild-type_infected_T5d_rep1,raw/fastq/SRX8622500_SRR12097060.fastq.gz,,auto,wild-type_infected_T5d_rep1,e2d2f5ab84e8ad467f29b0cc620c3732,wild,infected,T5d,rep1
wild-type_infected_T30d_rep4,raw/fastq/SRX8622501_SRR12097093.fastq.gz,,auto,wild-type_infected_T30d_rep4,061c10fdd70cbbcc57eb7b190bc47b3a,wild,infected,T30d,rep4
wild-type_infected_T30d_rep5,raw/fastq/SRX8622502_SRR12097094.fastq.gz,,auto,wild-type_infected_T30d_rep5,4eed1676298f99911b9015f45b86d7c4,wild,infected,T30d,rep5
35S::AtCKX2_infected_T12h_rep1,raw/fastq/SRX8622508_SRR12097100.fastq.gz,,auto,35S::AtCKX2_infected_T12h_rep1,ea63a49d9a7c667aac5657302fdecd21,35S::AtCKX2,infected,T12h,rep1
35S::AtCKX2_infected_T12h_rep2,raw/fastq/SRX8622509_SRR12097101.fastq.gz,,auto,35S::AtCKX2_infected_T12h_rep2,418c67b0af40d4080e65b28b14758444,35S::AtCKX2,infected,T12h,rep2
35S::AtCKX2_infected_T12h_rep3,raw/fastq/SRX8622510_SRR12097102.fastq.gz,,auto,35S::AtCKX2_infected_T12h_rep3,e8fda51745af1548826e231916af9a4b,35S::AtCKX2,infected,T12h,rep3
35S::AtCKX2_infected_T12h_rep4,raw/fastq/SRX8622511_SRR12097103.fastq.gz,,auto,35S::AtCKX2_infected_T12h_rep4,49c4aae967b9a4d73f7f737871ce09de,35S::AtCKX2,infected,T12h,rep4
35S::AtCKX2_infected_T12h_rep5,raw/fastq/SRX8622512_SRR12097104.fastq.gz,,auto,35S::AtCKX2_infected_T12h_rep5,54a5dd4540aa36c9b86c9462c15b8946,35S::AtCKX2,infected,T12h,rep5
35S::AtCKX2_infected_T24h_rep1,raw/fastq/SRX8622518_SRR12097110.fastq.gz,,auto,35S::AtCKX2_infected_T24h_rep1,fee9b5adaa36c43023ce352614497c40,35S::AtCKX2,infected,T24h,rep1
35S::AtCKX2_infected_T24h_rep2,raw/fastq/SRX8622519_SRR12097111.fastq.gz,,auto,35S::AtCKX2_infected_T24h_rep2,e68ab34ab6a7cf8292f5ade51a419ceb,35S::AtCKX2,infected,T24h,rep2
35S::AtCKX2_infected_T24h_rep3,raw/fastq/SRX8622520_SRR12097112.fastq.gz,,auto,35S::AtCKX2_infected_T24h_rep3,614c8edddd22386a0866b4f740a07742,35S::AtCKX2,infected,T24h,rep3
35S::AtCKX2_infected_T24h_rep4,raw/fastq/SRX8622521_SRR12097113.fastq.gz,,auto,35S::AtCKX2_infected_T24h_rep4,a32bc77795a10866c0f2e86838b9ea94,35S::AtCKX2,infected,T24h,rep4
35S::AtCKX2_infected_T24h_rep5,raw/fastq/SRX8622522_SRR12097114.fastq.gz,,auto,35S::AtCKX2_infected_T24h_rep5,51ad75d7586157158f70f7d12c8116b1,35S::AtCKX2,infected,T24h,rep5
35S::AtCKX2_infected_T48h_rep1,raw/fastq/SRX8622528_SRR12097120.fastq.gz,,auto,35S::AtCKX2_infected_T48h_rep1,7b9b9d70a1868865492e5a1d7034db59,35S::AtCKX2,infected,T48h,rep1
